previous_article,previous_article_text,current_article,current_article_text,number_of_clicks,click_rate
Bank,"[[[7, 231, 30, 7, 395, 3374, 111, 4188, 86, 1753, 46, 9740, 308], [994, 52, 4280, 308, 4, 1190, 60, 44, 1618, 3, 308], [102, 39, 88, 30, 9108, 21, 264], [155, 264, 9633, 6, 494, 123], [0, 69, 38, 161, 22, 7, 231, 30, 580, 231, 3683], [1192, 231, 435, 1823, 17, 0, 198, 5, 39, 30, 0, 91, 48, 42, 7, 4018, 899, 43, 435, 17], [68, 231, 435, 17, 783, 5, 146, 1572, 312]], [[4188, 308, 107, 30, 241, 6, 0, 231, 10, 1876, 578], [994, 107, 455, 2264, 4, 4188, 124, 7, 547, 4, 642, 0, 308, 137, 4, 0, 231, 22, 7, 288, 79, 17, 560], [29, 880, 30, 169, 7, 3660, 4, 987, 7, 166, 46, 2996], [994, 52, 86, 234, 0, 308, 39, 33, 25, 7803, 1530, 4, 4280, 6, 258, 6, 460, 4, 159, 181, 308]], [[6, 181, 123, 0, 1067, 10, 231, 30, 159, 21, 0, 78, 743, 131, 264], [7, 323, 231, 125, 7, 0, 231, 3, 563, 8630, 197, 181, 308, 30, 495, 22, 7, 1671, 79], [37, 30, 7, 3047, 6, 0, 427, 3, 7, 123, 5, 0, 78, 190, 0, 365, 451], [158, 231, 3, 495, 190, 6, 5, 495, 66, 9569, 5, 49027]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",15,0.3191489361702128
Canal,"[[[7, 4369, 30, 7, 17316, 159, 21, 473], [10, 109, 589, 4369, 33, 30, 1190, 7, 7, 179, 3, 1878, 1106, 219, 6, 16538, 46, 2377], [16017, 1140, 6481, 1241, 620, 46, 2561], [0, 6064, 4369, 30, 7, 1613, 4369, 12, 6481, 0, 2353, 2561, 17, 0, 1244, 2561], [109, 4369, 30, 9900, 17, 4920, 46, 3543, 13, 0, 437]], [[68, 4369, 30, 234, 10, 10332, 46, 23340]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",50,0.78125
Bristol,"[[[6853, 30, 7, 115, 6, 0, 104, 1859], [20, 30, 163, 4, 573, 69], [0, 620, 17053, 307, 131, 20, 4, 0, 30633, 20028]], [[20, 30, 118, 0, 386, 3, 18451, 5, 10713], [6, 691, 2701, 3062, 460, 12, 20, 189, 30, 7, 386, 1003, 5429], [212, 20, 1895, 386, 1416, 6, 0, 62, 49, 47, 4618], [20, 399, 0, 426, 377, 425, 0, 50, 17053, 386], [17053, 30, 332, 814, 5, 30, 14628, 6, 61, 386, 1416, 498, 4, 6853, 42, 399, 7, 22393, 382]], [[0, 6853, 311, 1702, 0, 241, 111, 0, 1641, 30, 6, 167, 711], [20, 33, 30, 7, 1414, 10, 62], [114, 1370, 30, 317, 365, 4, 1022, 20], [20, 33, 7, 50, 22198, 22, 119720]], [[20, 33, 109, 1590, 512, 5, 68, 447], [0, 17441, 4084, 1641, 44911, 152, 1069, 0, 620], [0, 221, 3, 6853, 30, 52, 6, 17441]], [[6853, 30, 7, 1437, 10, 0, 7517, 177, 617], []], [[6853, 30, 3914, 1441, 105, 85, 136, 819], [20, 114, 33, 109, 50, 2726, 5, 283], [0, 19736, 23989, 11536, 30, 159, 187]], [[20, 30, 52, 0, 10960, 3, 0, 403, 6616, 1305, 17, 1305, 6701, 775, 21211, 63, 1971, 436, 76095, 311, 49, 7, 193, 10713, 328, 5]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",33,0.1111111111111111
Italy,"[[[931, 30, 7, 123, 6, 139, 525, 5, 7, 393, 3, 0, 291, 354], [47, 239, 311, 30], [31666, 36614], [0, 1031, 2808, 30, 989, 298, 5, 639], [931, 30, 7, 590, 874, 5, 30, 7, 238, 393, 3, 0, 291, 311], [], [47, 90, 30, 9083, 228236, 5, 47, 335, 141], [30, 14051, 17936], [931, 30, 52, 7, 393, 3, 0, 7, 20, 33, 0, 652, 426, 3288, 1163, 1459, 6, 0, 85]], [[106, 20, 30, 159, 60, 3, 357, 1859, 5, 115, 92], [931, 33, 399, 1613, 10, 47, 2760, 7, 219, 7, 47, 565], [77, 3, 0, 181, 1613, 7260, 488, 917, 1554, 3, 12617, 9388, 5, 12677], [20697, 30, 52, 10576, 861, 6, 7260]], [[0, 123, 351, 2618, 30, 48, 3, 0, 181, 1613, 115, 6, 0, 85, 7, 20, 30, 0, 351, 3, 0, 1956, 2552], [68, 1613, 115, 6, 931, 488, 8081, 9611, 12760, 8091, 11973, 5, 2777]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",388,0.13599719593410445
Lisbon,"[[[7947, 30, 0, 351, 115, 3, 3010], [20, 30, 0, 426, 115, 3, 3010], [0, 115, 33, 7, 485, 3, 59, 55, 93, 69], [7947, 30, 181, 9852, 2227, 237, 6, 0, 291, 354], [7947, 30, 13, 0, 73132, 620], [20, 33, 7, 8829, 1948, 5, 33, 59, 122, 3, 9006, 236, 62], [63, 30, 109, 3366, 1497, 383, 4, 0, 115], [63, 30, 52, 109, 12209, 2551, 2245, 576, 5, 5631], [7947, 30, 48, 3, 0, 167, 115, 6, 0, 85]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",25,0.013950892857142858
Padua,"[[[29318, 30, 7, 1031, 115, 355, 8081], [20, 33, 59, 69]], [[29, 167, 9687, 203, 12, 29318, 30, 238, 21, 0, 23047], [63, 30, 7, 1480, 108, 0, 589, 106, 4904], [20, 169, 124, 1956, 268, 6], [6, 29318, 399, 4526, 21, 37601], [153111, 21337, 0, 115, 34, 0, 4526, 20, 7, 232, 79], [1301, 0, 353, 169, 29318, 6, 124, 268, 3, 0, 4021, 288, 0, 115, 1429, 0, 2677, 1956, 2552, 3, 514, 513]], [[49, 2651, 17, 15678, 43152, 20, 5932, 349, 6], [6, 0, 232, 221, 3, 931, 30, 238, 6, 29318], [0, 142117, 169, 29318, 6, 288, 0, 874, 3, 8081, 169, 424, 59, 0, 115, 207, 10535, 26317, 169, 20]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",101,0.9439252336448598
Udine,"[[[52272, 30, 7, 115, 6, 0, 56061, 36630, 49344, 368, 3, 931], [0, 485, 30]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",11,0.22916666666666666
Budapest,"[[[9766, 30, 0, 351, 115, 3, 3865], [20, 30, 159, 7, 125, 6], [6, 12, 62, 87, 328, 13, 0, 620, 15590, 7476, 54510, 286165, 167, 54510, 5, 19085, 30, 8970], [0, 115, 33, 7, 485, 3, 59, 93, 69], [47, 152, 241, 30, 56750, 1319]], [[0, 444, 4881, 6, 9766, 30, 0, 3076, 1319], [0, 668, 166, 5, 2662, 13663], [9766, 30, 52, 346, 10, 0, 11346, 3, 303032, 0, 351, 115, 3, 0, 1956, 624, 3, 69938], [0, 115, 33, 7, 353, 3904, 17, 3082, 6963, 7212, 5, 0, 1274, 5322, 13670]], [[20, 33, 0, 167, 5837, 331, 6, 4490], [81, 107, 36, 346, 59], []]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",24,0.006707657909446618
Amsterdam,"[[[6113, 30, 0, 351, 5, 426, 115, 6, 0, 291, 123, 3, 0, 2238], [6113, 30, 1613, 10, 47, 4369, 5, 29969], [2633, 181, 68, 123, 0, 121, 78, 30, 36, 6, 6113, 34, 6, 0, 6277]], [[59, 69, 30, 682, 6, 6113, 6], [0, 115, 1551, 55, 221, 0, 221, 3, 6113, 5, 0, 415, 221, 6113, 5, 7, 146, 922, 37131, 922], [59, 93, 69, 682, 6, 0, 3909, 237], [0, 115, 3, 6113, 30, 0, 85, 181, 5436, 1704, 115], [20, 33, 69, 682, 63, 25, 494, 123], [117, 68, 365, 115, 6, 0, 2238, 5, 2644, 6, 0, 85, 6113, 30, 4716, 1698, 4, 109, 1511, 1830]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",46,0.009569377990430622
Renaissance,"[[[0, 7694, 30, 7, 566, 6, 0, 299, 3, 525, 1092, 6, 59, 5, 1816, 0, 6101, 566]], [[], [7694, 30, 7, 348, 1388, 1702, 20324], [0, 566, 30, 580, 21, 37, 311, 113, 22, 12, 79, 69, 465, 190, 7, 560, 6, 0, 2368, 3, 2359, 79, 6, 1671, 0, 2368, 3, 2359, 2107, 5, 2618], [0, 7694, 30, 253, 7, 7, 20324, 3, 12, 2368], [0, 7694, 30, 456, 203, 4, 30, 0, 465, 3, 0, 1194, 464]], [[105, 0, 7694, 63, 30, 109, 1613, 2131, 109, 1541, 5, 109, 11296], [109, 69, 806, 6510, 5, 494, 1121], [7, 899, 38, 30, 11114, 22, 7, 353, 30355, 3, 873, 30, 1071, 580, 7, 7694, 300], [12542, 4622, 17580, 38, 30, 7, 6121, 7, 4756, 7, 5590, 5, 7, 11296, 30, 0, 181, 1613], [7694, 300]], [[0, 7694, 465, 6, 931, 34, 720, 1635, 531, 0, 1115, 3, 525], [6, 931, 0, 79, 30, 6586, 75, 87], [0, 199, 7694], [0, 0, 288, 7694, 42, 30, 52, 580, 566]], [[284, 0, 79008, 566, 30, 0, 12909, 566, 42, 52, 1635, 531, 525, 25, 59], [587, 931, 20, 86, 30, 605, 4, 1361, 111, 0, 7694, 566, 156, 5, 12909, 1092]]]",Venice,"[[[8081, 30, 7, 115, 6, 931], [20, 30, 0, 351, 3, 0, 36070, 368, 42, 30, 6, 0, 193, 322, 3, 0, 123], [0, 485, 3, 0, 23213, 4861, 36630, 42, 30, 8081, 47, 16196, 5, 47, 2545, 30], [237, 30], [0, 485, 3, 8081, 1003, 578, 13, 11073, 22, 7, 7203, 571, 5, 30, 114, 124, 250]], [[8081, 30, 1190, 13, 357, 583, 12, 30, 1350, 21, 4369], [69, 1007, 0, 4369, 21, 109, 357, 1641], [39, 86, 52, 16107, 531, 0, 115, 13, 2377, 150, 2307, 2377, 5, 2822, 2377], [0, 181, 1613, 18195, 1554, 3, 2377, 580, 7, 34706], [0, 447, 6, 8081, 30, 191, 167, 5, 5062, 5, 3439, 326, 25, 64, 74, 0, 85, 4, 253, 101, 5, 0, 4369], [37, 33, 159, 8081, 48, 3, 0, 181, 1613, 115, 6, 0, 85], [0, 181, 1613, 4881, 30, 0, 60684, 1641, 2696, 799, 13663, 5, 0, 56045, 2533], [20, 30, 481, 4, 2715, 12, 8081, 30, 181, 181, 73, 306, 4816, 5, 12, 53, 12358, 0, 115, 7, 530, 25, 1388, 4, 4599, 46, 270, 3, 162, 777], [47, 6020, 5, 1295, 30, 3006, 6, 0, 85, 5, 20, 86, 169, 20436, 22]], [[63, 30, 201, 747, 6, 8081, 34, 20, 30, 149, 0, 181, 814, 3439, 7289, 6, 2592, 931], [359, 62, 0, 115, 9241, 7, 306, 38344, 113, 0, 17222, 30, 159, 25, 6798], [1181, 0, 115, 107, 30, 2215, 10473, 34, 12, 54, 190, 1652], [113, 3, 37, 0, 1031, 78, 30, 1190, 0, 62873, 716, 7, 92, 3, 0, 760, 475, 98, 0, 937, 430, 3708, 12, 43, 7024, 1508, 8081, 9595]]]",11,0.006391632771644393
